address,bathrooms,bedrooms,city,date_price_changed,price,state,street_address,tax_assessed_value,url,zestimate,zipcode
"1835 Elsey Dr, Charleston, SC 29407",2.0,3.0,Charleston,2022-06-12 03:00:00,"$399,950",SC,1835 Elsey Dr,168100.0,https://www.zillow.com/homedetails/1835-Elsey-Dr-Charleston-SC-29407/10871248_zpid/,442500,29407
"498 Albemarle Rd UNIT 315, Charleston, SC 29407",2.0,1.0,Charleston,None,"$345,000",SC,498 Albemarle Rd UNIT 315,300300.0,https://www.zillow.com/homedetails/498-Albemarle-Rd-UNIT-315-Charleston-SC-29407/68397378_zpid/,410500,29407
"1885 Hazelwood Dr, Charleston, SC 29407",2.0,3.0,Charleston,None,"$350,000",SC,1885 Hazelwood Dr,165000.0,https://www.zillow.com/homedetails/1885-Hazelwood-Dr-Charleston-SC-29407/10873865_zpid/,291000,29407
"727 Hitching Post Rd, Charleston, SC 29414",3.0,3.0,Charleston,None,"$475,000",SC,727 Hitching Post Rd,338100.0,https://www.zillow.com/homedetails/727-Hitching-Post-Rd-Charleston-SC-29414/10863838_zpid/,448000,29414
"2334 Lenwick Hall Ln, Johns Island, SC 29455",3.0,4.0,Johns Island,2022-06-10 03:00:00,"$648,177",SC,2334 Lenwick Hall Ln,0,https://www.zillow.com/homedetails/2334-Lenwick-Hall-Ln-Johns-Island-SC-29455/2063166419_zpid/,None,29455
"2788 Garden Creek Rd, Charleston, SC 29414",3.0,3.0,Charleston,None,"$425,000",SC,2788 Garden Creek Rd,250000.0,https://www.zillow.com/homedetails/2788-Garden-Creek-Rd-Charleston-SC-29414/10877941_zpid/,417800,29414
"1158 E And West Rd, Charleston, SC 29412",2.0,3.0,Charleston,None,"$375,000",SC,1158 E And West Rd,228773.0,https://www.zillow.com/homedetails/1158-E-And-West-Rd-Charleston-SC-29412/10899359_zpid/,424800,29412
"3072 Bohicket Rd, Johns Island, SC 29455",7.0,5.0,Johns Island,2022-05-21 03:00:00,"$5,750,000",SC,3072 Bohicket Rd,1274270.0,https://www.zillow.com/homedetails/3072-Bohicket-Rd-Johns-Island-SC-29455/327850253_zpid/,5750000,29455
"1033 Clearspring Dr, Charleston, SC 29412",2.0,4.0,Charleston,None,"$575,000",SC,1033 Clearspring Dr,364000.0,https://www.zillow.com/homedetails/1033-Clearspring-Dr-Charleston-SC-29412/68394007_zpid/,570600,29412
"2108 Military Way, Charleston, SC 29414",4.0,4.0,Charleston,2022-06-13 03:00:00,"$539,900",SC,2108 Military Way,354500.0,https://www.zillow.com/homedetails/2108-Military-Way-Charleston-SC-29414/110225278_zpid/,558500,29414
"1782 Harrison Ave, Charleston, SC 29407",2.0,2.0,Charleston,None,"$570,000",SC,1782 Harrison Ave,305700.0,https://www.zillow.com/homedetails/1782-Harrison-Ave-Charleston-SC-29407/10871816_zpid/,516100,29407
"5 Chadwick Dr #B, Charleston, SC 29407",2.0,2.0,Charleston,None,"$399,000",SC,5 Chadwick Dr #B,299500.0,https://www.zillow.com/homedetails/5-Chadwick-Dr-B-Charleston-SC-29407/10893626_zpid/,425200,29407
